id,name,line1,line2,line3,line4,line5,status
164,岚皋路,7,0,0,0,0,1
165,川沙,2,0,0,0,0,1
166,巨峰路,6,12,0,0,0,1
167,市光路,8,0,0,0,0,1
168,常熟路,1,7,0,0,0,1
169,平凉路,18,0,0,0,0,1
170,广兰路,2,0,0,0,0,1
171,康恒路,11,0,0,0,0,1
172,康文路,18,0,0,0,0,1
173,康新公路,11,0,0,0,0,1
174,康桥,18,0,0,0,0,1
175,康桥东,51,0,0,0,0,1
176,延吉中路,8,0,0,0,0,1
177,延安西路,3,4,0,0,0,1
178,延长路,1,0,0,0,0,1
179,张华浜,3,0,0,0,0,1
180,张江路,13,0,0,0,0,1
181,张江高科,2,0,0,0,0,1
182,彭浦新村,1,0,0,0,0,1
183,徐家汇,1,9,11,0,0,1
184,徐泾北城,17,0,0,0,0,1
185,徐盈路,17,0,0,0,0,1
186,御桥,11,18,0,0,0,1
187,德平路,6,0,0,0,0,1
188,惠南,16,0,0,0,0,1
189,惠南东,16,0,0,0,0,1
190,成山路,8,13,0,0,0,1
191,打浦桥,9,0,0,0,0,1
192,抚顺路,18,0,0,0,0,1
193,提篮桥,12,0,0,0,0,1
194,文井路,5,0,0,0,0,1
195,新场,16,0,0,0,0,1
196,新村路,7,0,0,0,0,1
197,新江湾城,10,0,0,0,0,1
198,新闸路,1,0,0,0,0,1
199,昌吉东路,11,0,0,0,0,1
200,昌平路,7,0,0,0,0,1
201,昌邑路,14,18,0,0,0,1
202,星中路,9,0,0,0,0,1
203,春申路,5,0,0,0,0,1
204,景洪路,15,51,0,0,0,1
205,景西路,15,0,0,0,0,1
206,曙建路,15,0,0,0,0,1
207,曲阜路,8,12,0,0,0,1
208,曲阳路,8,0,0,0,0,1
209,曹杨路,3,4,11,14,0,1
210,曹路,9,0,0,0,0,1
211,望园路,5,0,0,0,0,1
212,朱家角,17,0,0,0,0,1
213,朱梅路,15,0,0,0,0,1
214,李子园,11,0,0,0,0,1
215,杨思,8,0,0,0,0,1
216,杨树浦路,4,0,0,0,0,1
217,杨高中路,9,18,0,0,0,1
218,杨高北路,12,0,0,0,0,1
219,杨高南路,7,0,0,0,0,1
220,松江体育中心,9,0,0,0,0,1
221,松江大学城,9,0,0,0,0,1
222,松江新城,9,0,0,0,0,1
223,枫桥路,11,0,0,0,0,1
224,桂林公园,12,15,0,0,0,1
225,桂林路,9,15,0,0,0,1
226,桂桥路,14,0,0,0,0,1
227,桃浦新村,11,0,0,0,0,1
228,梅岭北路,15,0,0,0,0,1
229,歇浦路,14,0,0,0,0,1
230,武威东路,15,0,0,0,0,1
231,武威路,11,0,0,0,0,1
232,武宁路,13,14,0,0,0,1
233,武定路,14,0,0,0,0,1
234,殷高东路 ,10,0,0,0,0,1
235,殷高西路,3,0,0,0,0,1
236,殷高路,18,0,0,0,0,1
237,民生路,6,18,0,0,0,1
238,民雷路,9,0,0,0,0,1
239,水产路,3,0,0,0,0,1
240,水城路,10,0,0,0,0,1
241,永德路,15,0,0,0,0,1
242,汇臻路,41,0,0,0,0,1
243,汇金路,17,0,0,0,0,1
244,汉中路,1,12,13,0,0,1
245,江宁路,13,0,0,0,0,1
246,江川路,5,0,0,0,0,1
247,江月路,8,0,0,0,0,1
248,江杨北路,3,0,0,0,0,1
249,江浦公园,12,18,0,0,0,1
250,江浦路,8,18,0,0,0,1
251,江湾体育场,10,0,0,0,0,1
252,江湾镇,3,0,0,0,0,1
253,江苏路,2,11,0,0,0,1
254,汶水路,1,0,0,0,0,1
255,沈杜公路,8,41,0,0,0,1
256,沈梅路,18,0,0,0,0,1
257,泗泾,9,0,0,0,0,1
258,洞泾,9,0,0,0,0,1
259,洲海路,6,0,0,0,0,1
260,浦三路,11,0,0,0,0,1
261,浦东1号2号航站楼,2,51,0,0,0,1
262,浦东南路,2,14,0,0,0,1
263,浦东大道,4,14,0,0,0,1
264,浦东足球场,14,0,0,0,0,1
265,浦江镇,8,0,0,0,0,1
266,浦电路 ,6,0,0,0,0,1
267,浦航路,41,0,0,0,0,1
268,海伦路,4,10,0,0,0,1
269,海天三路,2,0,0,0,0,1
270,淀山湖大道,17,0,0,0,0,1
271,淞发路,3,0,0,0,0,1
272,淞滨路,3,0,0,0,0,1
273,淞虹路,2,0,0,0,0,1
274,淮海中路,13,0,0,0,0,1
275,港城路,6,10,0,0,0,1
276,源深体育中心,6,0,0,0,0,1
277,源深路,14,0,0,0,0,1
278,滴水湖,16,0,0,0,0,1
279,漕宝路,1,12,0,0,0,1
280,漕河泾开发区,9,0,0,0,0,1
281,漕溪路,3,0,0,0,0,1
282,漕盈路,17,0,0,0,0,1
283,潘广路,7,0,0,0,0,1
284,灵岩南路,6,0,0,0,0,1
285,爱国路,12,0,0,0,0,1
286,爱辉路,18,0,0,0,0,1
287,环城东路,5,0,0,0,0,1
288,申江路,12,0,0,0,0,1
289,白银路,11,0,0,0,0,1
290,真光路,14,0,0,0,0,1
291,真北路,13,0,0,0,0,1
292,真如,11,14,0,0,0,1
293,真新新村,14,0,0,0,0,1
294,石龙路,3,0,0,0,0,1
295,祁华路,7,0,0,0,0,1
296,祁安路,15,0,0,0,0,1
297,祁连山南路,13,0,0,0,0,1
298,祁连山路,11,0,0,0,0,1
299,秀沿路,11,0,0,0,0,1
300,紫竹高新区,15,0,0,0,0,1
301,紫藤路,10,0,0,0,0,1
302,繁荣路,18,0,0,0,0,1
303,红宝石路,15,0,0,0,0,1
304,罗南新村,7,0,0,0,0,1
305,罗山路,11,16,0,0,0,1
306,罗秀路,15,0,0,0,0,1
307,美兰湖,7,0,0,0,0,1
308,翔殷路,8,0,0,0,0,1
309,耀华路,7,8,0,0,0,1
310,老西门,8,10,0,0,0,1
311,联航路,8,0,0,0,0,1
312,肇嘉浜路,7,9,0,0,0,1
313,自然博物馆,13,0,0,0,0,1
314,航中路,10,0,0,0,0,1
315,航头,18,0,0,0,0,1
316,航头东,16,0,0,0,0,1
317,航津路,6,0,0,0,0,1
318,芦恒路,8,0,0,0,0,1
319,花木路,7,0,0,0,0,1
320,花桥,11,0,0,0,0,1
321,芳华路,7,0,0,0,0,1
322,芳甸路,9,0,0,0,0,1
323,芳芯路,18,0,0,0,0,1
324,莘庄,1,5,0,0,0,1
325,莲溪路,13,18,0,0,0,1
326,莲花路,1,0,0,0,0,1
327,萧塘,5,0,0,0,0,1
328,蓝天路,9,14,0,0,0,1
329,蓝村路,4,6,0,0,0,1
330,虹口足球场,3,8,0,0,0,1
331,虹桥1号航站楼,10,0,0,0,0,1
332,虹桥2号航站楼,2,10,51,0,0,1
333,虹桥火车站,2,10,17,0,0,1
334,虹桥路,3,4,10,0,0,1
335,虹梅南路,15,0,0,0,0,1
336,虹梅路,12,0,0,0,0,1
337,虹漕路,12,0,0,0,0,1
338,虹莘路,12,0,0,0,0,1
339,蟠祥路·国家会计学院,2,0,0,0,0,1
340,蟠龙路,17,0,0,0,0,1
341,行知路,7,0,0,0,0,1
342,衡山路,1,0,0,0,0,1
343,西岑,17,0,0,0,0,1
344,西渡,5,0,0,0,0,1
345,西藏北路,8,0,0,0,0,1
346,西藏南路,4,8,0,0,0,1
347,豫园,10,14,0,0,0,1
348,赤峰路,3,0,0,0,0,1
349,赵巷,17,0,0,0,0,1
350,迎春路,18,0,0,0,0,1
351,远东大道,2,0,0,0,0,1
352,迪士尼,11,0,0,0,0,1
353,通南路,18,0,0,0,0,1
354,通河新村,1,0,0,0,0,1
355,邮电新村,10,0,0,0,0,1
356,醉白池,9,0,0,0,0,1
357,野生动物园,16,0,0,0,0,1
358,金京路,12,0,0,0,0,1
359,金吉路,9,0,0,0,0,1
360,金平路,5,0,0,0,0,1
361,金桥,9,0,0,0,0,1
362,金桥路,6,0,0,0,0,1
363,金沙江西路,13,0,0,0,0,1
364,金沙江路,3,4,13,0,0,1
365,金海湖,5,0,0,0,0,1
366,金海路,9,12,0,0,0,1
367,金科路,2,0,0,0,0,1
368,金粤路,14,0,0,0,0,1
369,金运路,13,0,0,0,0,1
370,铁力路,3,0,0,0,0,1
371,铜川路,14,15,0,0,0,1
372,银都路,5,0,0,0,0,1
373,锦江乐园,1,0,0,0,0,1
374,锦秋路,15,0,0,0,0,1
375,锦绣路,7,0,0,0,0,1
376,镇坪路,3,4,7,0,0,1
377,长寿路,7,13,0,0,0,1
378,长江南路,3,18,0,0,0,1
379,长江西路,18,0,0,0,0,1
380,长清路,7,13,0,0,0,1
381,长风公园,15,0,0,0,0,1
382,闵瑞路,41,0,0,0,0,1
383,闵行开发区,5,0,0,0,0,1
384,陆家嘴,2,14,0,0,0,1
385,陆家浜路,8,9,0,0,0,1
386,陈春路 ,13,0,0,0,0,1
387,陈翔公路,11,0,0,0,0,1
388,陕西南路,1,10,12,0,0,1
389,隆德路,11,13,0,0,0,1
390,隆昌路,12,0,0,0,0,1
391,青浦新城,17,0,0,0,0,1
392,静安寺,2,7,14,0,0,1
393,鞍山新村,8,0,0,0,0,1
394,顾唐路,9,0,0,0,0,1
395,顾戴路,12,0,0,0,0,1
396,顾村公园,7,15,0,0,0,1
397,颛桥,5,0,0,0,0,1
398,马当路,9,13,0,0,0,1
399,马陆,11,0,0,0,0,1
400,高桥,10,0,0,0,0,1
401,高桥西,10,0,0,0,0,1
402,高科西路,6,7,0,0,0,1
403,高青路,6,0,0,0,0,1
404,鲁班路,4,0,0,0,0,1
405,鹤沙航城,16,0,0,0,0,1
406,鹤涛路,18,0,0,0,0,1
407,黄兴公园,8,0,0,0,0,1
408,黄兴路,8,0,0,0,0,1
409,黄杨路,14,0,0,0,0,1
410,龙华,11,12,0,0,0,1
411,龙华中路,7,12,0,0,0,1
412,龙柏新村,10,0,0,0,0,1
413,龙溪路,10,0,0,0,0,1
414,龙漕路,3,12,0,0,0,1
415,龙耀路,11,0,0,0,0,1
416,龙阳路,2,7,16,18,0,1
